dataset_id,provenance,sales_policy,model,window_days,half_life_days,sales_rub,attributed_rub,unknown_source_rub,coverage_pct,paid_orders,buyers,successful_records,romi_pct,cost_complete
demo_2026,synthetic,recorded_payments,last_touch,1,,64790.0,15000.0,49790.0,23.151720944590213,7,6,8,,False
demo_2026,synthetic,recorded_payments,first_touch,1,,64790.0,15000.0,49790.0,23.151720944590213,7,6,8,,False
demo_2026,synthetic,recorded_payments,linear,1,,64790.0,15000.0,49790.0,23.151720944590213,7,6,8,,False
demo_2026,synthetic,recorded_payments,time_decay,1,3,64790.0,15000.0,49790.0,23.151720944590213,7,6,8,,False
demo_2026,synthetic,recorded_payments,position_based,1,,64790.0,15000.0,49790.0,23.151720944590213,7,6,8,,False
demo_2026,synthetic,recorded_payments,last_touch,3,,64790.0,48890.0,15900.0,75.45917579873438,7,6,8,,False
demo_2026,synthetic,recorded_payments,first_touch,3,,64790.0,48890.0,15900.0,75.45917579873438,7,6,8,,False
demo_2026,synthetic,recorded_payments,linear,3,,64790.0,48890.0,15900.0,75.45917579873438,7,6,8,,False
demo_2026,synthetic,recorded_payments,time_decay,3,3,64790.0,48890.0,15900.0,75.45917579873438,7,6,8,,False
demo_2026,synthetic,recorded_payments,position_based,3,,64790.0,48890.0,15900.0,75.45917579873438,7,6,8,,False
demo_2026,synthetic,recorded_payments,last_touch,7,,64790.0,48890.0,15900.0,75.45917579873438,7,6,8,,False
demo_2026,synthetic,recorded_payments,first_touch,7,,64790.0,48890.0,15900.0,75.45917579873438,7,6,8,,False
demo_2026,synthetic,recorded_payments,linear,7,,64790.0,48890.0,15900.0,75.45917579873438,7,6,8,,False
demo_2026,synthetic,recorded_payments,time_decay,7,3,64790.0,48890.0,15900.0,75.45917579873438,7,6,8,,False
demo_2026,synthetic,recorded_payments,position_based,7,,64790.0,48890.0,15900.0,75.45917579873438,7,6,8,,False
demo_2026,synthetic,recorded_payments,last_touch,14,,64790.0,57840.0,6950.0,89.27303596233986,7,6,8,,False
demo_2026,synthetic,recorded_payments,first_touch,14,,64790.0,57840.0,6950.0,89.27303596233986,7,6,8,,False
demo_2026,synthetic,recorded_payments,linear,14,,64790.0,57840.0,6950.0,89.27303596233986,7,6,8,,False
demo_2026,synthetic,recorded_payments,time_decay,14,3,64790.0,57840.0,6950.0,89.27303596233986,7,6,8,,False
demo_2026,synthetic,recorded_payments,position_based,14,,64790.0,57840.0,6950.0,89.27303596233986,7,6,8,,False
demo_2026,synthetic,recorded_payments,last_touch,21,,64790.0,57840.0,6950.0,89.27303596233986,7,6,8,,False
demo_2026,synthetic,recorded_payments,first_touch,21,,64790.0,57840.0,6950.0,89.27303596233986,7,6,8,,False
demo_2026,synthetic,recorded_payments,linear,21,,64790.0,57840.0,6950.0,89.27303596233986,7,6,8,,False
demo_2026,synthetic,recorded_payments,time_decay,21,3,64790.0,57840.0,6950.0,89.27303596233986,7,6,8,,False
demo_2026,synthetic,recorded_payments,position_based,21,,64790.0,57840.0,6950.0,89.27303596233986,7,6,8,,False
sales_2026,real,legacy_sales_proxy,last_touch,1,,5904671.67,0.0,5904671.67,0.0,628,606,628,,False
sales_2026,real,legacy_sales_proxy,first_touch,1,,5904671.67,0.0,5904671.67,0.0,628,606,628,,False
sales_2026,real,legacy_sales_proxy,linear,1,,5904671.67,0.0,5904671.67,0.0,628,606,628,,False
sales_2026,real,legacy_sales_proxy,time_decay,1,3,5904671.67,0.0,5904671.67,0.0,628,606,628,,False
sales_2026,real,legacy_sales_proxy,position_based,1,,5904671.67,0.0,5904671.67,0.0,628,606,628,,False
sales_2026,real,legacy_sales_proxy,last_touch,3,,5904671.67,0.0,5904671.67,0.0,628,606,628,,False
sales_2026,real,legacy_sales_proxy,first_touch,3,,5904671.67,0.0,5904671.67,0.0,628,606,628,,False
sales_2026,real,legacy_sales_proxy,linear,3,,5904671.67,0.0,5904671.67,0.0,628,606,628,,False
sales_2026,real,legacy_sales_proxy,time_decay,3,3,5904671.67,0.0,5904671.67,0.0,628,606,628,,False
sales_2026,real,legacy_sales_proxy,position_based,3,,5904671.67,0.0,5904671.67,0.0,628,606,628,,False
sales_2026,real,legacy_sales_proxy,last_touch,7,,5904671.67,0.0,5904671.67,0.0,628,606,628,,False
sales_2026,real,legacy_sales_proxy,first_touch,7,,5904671.67,0.0,5904671.67,0.0,628,606,628,,False
sales_2026,real,legacy_sales_proxy,linear,7,,5904671.67,0.0,5904671.67,0.0,628,606,628,,False
sales_2026,real,legacy_sales_proxy,time_decay,7,3,5904671.67,0.0,5904671.67,0.0,628,606,628,,False
sales_2026,real,legacy_sales_proxy,position_based,7,,5904671.67,0.0,5904671.67,0.0,628,606,628,,False
sales_2026,real,legacy_sales_proxy,last_touch,14,,5904671.67,0.0,5904671.67,0.0,628,606,628,,False
sales_2026,real,legacy_sales_proxy,first_touch,14,,5904671.67,0.0,5904671.67,0.0,628,606,628,,False
sales_2026,real,legacy_sales_proxy,linear,14,,5904671.67,0.0,5904671.67,0.0,628,606,628,,False
sales_2026,real,legacy_sales_proxy,time_decay,14,3,5904671.67,0.0,5904671.67,0.0,628,606,628,,False
sales_2026,real,legacy_sales_proxy,position_based,14,,5904671.67,0.0,5904671.67,0.0,628,606,628,,False
sales_2026,real,legacy_sales_proxy,last_touch,21,,5904671.67,0.0,5904671.67,0.0,628,606,628,,False
sales_2026,real,legacy_sales_proxy,first_touch,21,,5904671.67,0.0,5904671.67,0.0,628,606,628,,False
sales_2026,real,legacy_sales_proxy,linear,21,,5904671.67,0.0,5904671.67,0.0,628,606,628,,False
sales_2026,real,legacy_sales_proxy,time_decay,21,3,5904671.67,0.0,5904671.67,0.0,628,606,628,,False
sales_2026,real,legacy_sales_proxy,position_based,21,,5904671.67,0.0,5904671.67,0.0,628,606,628,,False
