status,campaign_id,placement_id,creative_id,channel_url,publication_time,cost_rub,tracking_token,actual_post_url,owner
planned_template_not_loaded,future_campaign,future_p01,future_c01,,,,future_p01,,
planned_template_not_loaded,future_campaign,future_p02,future_c02,,,,future_p02,,
planned_template_not_loaded,future_campaign,future_p03,future_c03,,,,future_p03,,
planned_template_not_loaded,future_campaign,future_p04,future_c04,,,,future_p04,,
planned_template_not_loaded,future_campaign,future_p05,future_c05,,,,future_p05,,
planned_template_not_loaded,future_campaign,future_p06,future_c06,,,,future_p06,,
planned_template_not_loaded,future_campaign,future_p07,future_c07,,,,future_p07,,
planned_template_not_loaded,future_campaign,future_p08,future_c08,,,,future_p08,,
planned_template_not_loaded,future_campaign,future_p09,future_c09,,,,future_p09,,
planned_template_not_loaded,future_campaign,future_p10,future_c10,,,,future_p10,,
planned_template_not_loaded,future_campaign,future_p11,future_c11,,,,future_p11,,
planned_template_not_loaded,future_campaign,future_p12,future_c12,,,,future_p12,,
planned_template_not_loaded,future_campaign,future_p13,future_c13,,,,future_p13,,
planned_template_not_loaded,future_campaign,future_p14,future_c14,,,,future_p14,,
planned_template_not_loaded,future_campaign,future_p15,future_c15,,,,future_p15,,
planned_template_not_loaded,future_campaign,future_p16,future_c16,,,,future_p16,,
planned_template_not_loaded,future_campaign,future_p17,future_c17,,,,future_p17,,
planned_template_not_loaded,future_campaign,future_p18,future_c18,,,,future_p18,,
planned_template_not_loaded,future_campaign,future_p19,future_c19,,,,future_p19,,
planned_template_not_loaded,future_campaign,future_p20,future_c20,,,,future_p20,,
